trial,reached,attempts,days,best_score
1,True,401,44.556,183.1
2,True,574,63.778,181.4
3,True,957,106.333,183.1
4,True,972,108.0,184.8
5,True,797,88.556,183.5
6,True,884,98.222,189.5
7,True,206,22.889,181.1
8,True,862,95.778,185.9
9,True,281,31.222,180.7
10,True,938,104.222,183.5
11,True,622,69.111,183.6
12,True,946,105.111,182.8
13,True,841,93.444,181.7
14,True,411,45.667,180.5
15,True,578,64.222,185.5
16,True,611,67.889,189.1
17,True,1250,138.889,181.6
18,True,663,73.667,182.0
19,True,1348,149.778,185.3
20,True,870,96.667,184.3
21,True,1403,155.889,182.2
22,True,997,110.778,185.9
23,True,808,89.778,180.5
24,True,1364,151.556,181.7
25,True,195,21.667,182.0
26,True,923,102.556,186.6
27,True,1258,139.778,181.8
28,True,1351,150.111,188.6
29,True,312,34.667,189.9
30,True,814,90.444,191.0
31,True,771,85.667,189.7
32,True,1164,129.333,185.4
33,True,521,57.889,180.4
34,True,960,106.667,180.4
35,True,533,59.222,185.3
36,True,1124,124.889,187.9
37,True,389,43.222,182.0
38,True,1488,165.333,183.9
39,True,636,70.667,185.3
40,True,404,44.889,183.7
41,True,361,40.111,190.2
42,True,713,79.222,181.8
43,True,550,61.111,180.6
44,True,925,102.778,184.3
45,True,1407,156.333,181.7
46,True,1268,140.889,183.3
47,True,806,89.556,185.8
48,True,309,34.333,180.0
49,True,1038,115.333,181.5
50,True,709,78.778,180.3
51,True,1291,143.444,184.7
52,True,721,80.111,182.6
53,True,466,51.778,190.4
54,True,628,69.778,180.2
55,True,539,59.889,183.2
56,True,1068,118.667,182.7
57,True,906,100.667,185.3
58,True,806,89.556,180.7
59,True,377,41.889,180.1
60,True,1941,215.667,187.0
61,True,1004,111.556,180.3
62,True,791,87.889,183.0
63,True,730,81.111,184.0
64,True,542,60.222,182.0
65,True,803,89.222,180.3
66,True,1197,133.0,180.5
67,True,819,91.0,186.7
68,True,810,90.0,191.3
69,True,1044,116.0,184.7
70,True,1259,139.889,181.7
71,True,175,19.444,183.3
72,True,811,90.111,181.9
73,True,1111,123.444,182.0
74,True,894,99.333,183.6
75,True,341,37.889,185.5
76,True,576,64.0,183.7
77,True,655,72.778,181.7
78,True,670,74.444,194.3
79,True,156,17.333,187.7
80,True,732,81.333,180.4
81,True,612,68.0,182.9
82,True,700,77.778,180.3
83,True,1792,199.111,183.9
84,True,771,85.667,184.6
85,True,811,90.111,195.8
86,True,364,40.444,182.1
87,True,556,61.778,183.4
88,True,390,43.333,180.3
89,True,721,80.111,182.4
90,True,530,58.889,192.3
91,True,830,92.222,180.0
92,True,438,48.667,188.7
93,True,1797,199.667,189.0
94,True,280,31.111,181.4
95,True,794,88.222,183.0
96,True,545,60.556,183.2
97,True,190,21.111,180.8
98,True,841,93.444,185.7
99,True,230,25.556,182.3
100,True,1477,164.111,182.6
101,True,458,50.889,180.7
102,True,581,64.556,193.6
103,True,263,29.222,184.4
104,True,1117,124.111,185.0
105,True,956,106.222,180.2
106,True,738,82.0,189.2
107,True,425,47.222,190.3
108,True,1150,127.778,183.7
109,True,1200,133.333,181.4
110,True,509,56.556,180.6
111,True,1171,130.111,187.9
112,True,447,49.667,180.5
113,True,963,107.0,180.4
114,True,997,110.778,185.8
115,True,514,57.111,181.1
116,True,778,86.444,182.5
117,True,875,97.222,184.2
118,True,528,58.667,181.2
119,True,410,45.556,180.2
120,True,497,55.222,183.3
121,True,370,41.111,180.1
122,True,1558,173.111,180.0
123,True,1149,127.667,180.5
124,True,1092,121.333,180.7
125,True,703,78.111,181.4
126,True,403,44.778,196.7
127,True,936,104.0,180.7
128,True,430,47.778,184.2
129,True,670,74.444,183.9
130,True,608,67.556,181.3
131,True,509,56.556,180.3
132,True,1333,148.111,185.0
133,True,310,34.444,192.0
134,True,1145,127.222,186.6
135,True,599,66.556,181.0
136,True,930,103.333,183.6
137,True,727,80.778,182.3
138,True,384,42.667,187.1
139,True,714,79.333,182.3
140,True,495,55.0,186.4
141,True,1738,193.111,181.8
142,True,556,61.778,181.3
143,True,405,45.0,182.5
144,True,637,70.778,185.0
145,True,405,45.0,180.8
146,True,1068,118.667,181.3
147,True,893,99.222,188.8
148,True,349,38.778,183.0
